lea_name,lea_id,state,year,homeschool_students
Heard County,1302790,GA,2021-22,172
Heard County,1302790,GA,2022-23,141
Henry County,1302820,GA,2017-18,1739
Henry County,1302820,GA,2018-19,1909
Henry County,1302820,GA,2019-20,2046
Henry County,1302820,GA,2020-21,2089
Henry County,1302820,GA,2021-22,2316
Henry County,1302820,GA,2022-23,1883
Houston County,1302880,GA,2017-18,998
Houston County,1302880,GA,2018-19,1183
Houston County,1302880,GA,2019-20,1145
Houston County,1302880,GA,2020-21,1412
Houston County,1302880,GA,2021-22,1576
Houston County,1302880,GA,2022-23,1443
Irwin County,1302910,GA,2017-18,85
Irwin County,1302910,GA,2018-19,86
Irwin County,1302910,GA,2019-20,112
Irwin County,1302910,GA,2020-21,86
Irwin County,1302910,GA,2021-22,104
Irwin County,1302910,GA,2022-23,74
Jackson County,1302940,GA,2017-18,635
Jackson County,1302940,GA,2018-19,643
Jackson County,1302940,GA,2019-20,727
Jackson County,1302940,GA,2020-21,885
Jackson County,1302940,GA,2021-22,931
Jackson County,1302940,GA,2022-23,808
Jasper County,1302970,GA,2017-18,127
Jasper County,1302970,GA,2018-19,170
Jasper County,1302970,GA,2019-20,198
Jasper County,1302970,GA,2020-21,263
Jasper County,1302970,GA,2021-22,263
Jasper County,1302970,GA,2022-23,214
Jeff Davis County,1303000,GA,2017-18,54
Jeff Davis County,1303000,GA,2018-19,52
Jeff Davis County,1303000,GA,2019-20,63
Jeff Davis County,1303000,GA,2020-21,78
Jeff Davis County,1303000,GA,2021-22,80
Jeff Davis County,1303000,GA,2022-23,76
Jefferson City,1303030,GA,2017-18,94
Jefferson City,1303030,GA,2018-19,86
Jefferson City,1303030,GA,2019-20,83
Jefferson City,1303030,GA,2020-21,96
Jefferson City,1303030,GA,2021-22,128
Jefferson City,1303030,GA,2022-23,95
Jefferson County,1303060,GA,2017-18,46
Jefferson County,1303060,GA,2018-19,58
Jefferson County,1303060,GA,2019-20,73
Jefferson County,1303060,GA,2020-21,118
Jefferson County,1303060,GA,2021-22,110
Jefferson County,1303060,GA,2022-23,145
Jenkins County,1303090,GA,2017-18,30
Jenkins County,1303090,GA,2018-19,45
Jenkins County,1303090,GA,2019-20,38
Jenkins County,1303090,GA,2020-21,54
Jenkins County,1303090,GA,2021-22,49
Jenkins County,1303090,GA,2022-23,40
Johnson County,1303120,GA,2017-18,59
Johnson County,1303120,GA,2018-19,76
Johnson County,1303120,GA,2019-20,65
Johnson County,1303120,GA,2020-21,87
Johnson County,1303120,GA,2021-22,87
Johnson County,1303120,GA,2022-23,71
Jones County,1303150,GA,2017-18,176
Jones County,1303150,GA,2018-19,147
Jones County,1303150,GA,2019-20,170
Jones County,1303150,GA,2020-21,182
Jones County,1303150,GA,2021-22,204
Jones County,1303150,GA,2022-23,201
Lamar County,1303210,GA,2017-18,186
Lamar County,1303210,GA,2018-19,219
Lamar County,1303210,GA,2019-20,220
Lamar County,1303210,GA,2020-21,221
Lamar County,1303210,GA,2021-22,261
Lamar County,1303210,GA,2022-23,184
Lanier County,1303240,GA,2017-18,63
Lanier County,1303240,GA,2018-19,66
Lanier County,1303240,GA,2019-20,81
Lanier County,1303240,GA,2020-21,107
Lanier County,1303240,GA,2021-22,132
Lanier County,1303240,GA,2022-23,127
Laurens County,1301890,GA,2017-18,296
Laurens County,1301890,GA,2018-19,288
Laurens County,1301890,GA,2019-20,300
Laurens County,1301890,GA,2020-21,339
Laurens County,1301890,GA,2021-22,354
Laurens County,1301890,GA,2022-23,340
Lee County,1303270,GA,2017-18,269
Lee County,1303270,GA,2018-19,245
Lee County,1303270,GA,2019-20,260
Lee County,1303270,GA,2020-21,281
Lee County,1303270,GA,2021-22,319
Lee County,1303270,GA,2022-23,258
Liberty County,1303300,GA,2017-18,303
Liberty County,1303300,GA,2018-19,378
Liberty County,1303300,GA,2019-20,437
Liberty County,1303300,GA,2020-21,538
Liberty County,1303300,GA,2021-22,595
Liberty County,1303300,GA,2022-23,510
Lincoln County,1303330,GA,2017-18,50
Lincoln County,1303330,GA,2018-19,56
Lincoln County,1303330,GA,2019-20,61
Lincoln County,1303330,GA,2020-21,66
Lincoln County,1303330,GA,2021-22,69
Lincoln County,1303330,GA,2022-23,71
Long County,1303360,GA,2017-18,110
Long County,1303360,GA,2018-19,122
Long County,1303360,GA,2019-20,163
Long County,1303360,GA,2020-21,170
Long County,1303360,GA,2021-22,227
Long County,1303360,GA,2022-23,224
Lowndes County,1303390,GA,2017-18,665
Lowndes County,1303390,GA,2018-19,577
Lowndes County,1303390,GA,2019-20,687
Lowndes County,1303390,GA,2020-21,882
Lowndes County,1303390,GA,2021-22,909
Lowndes County,1303390,GA,2022-23,764
Lumpkin County,1303420,GA,2017-18,329
Lumpkin County,1303420,GA,2018-19,298
Lumpkin County,1303420,GA,2019-20,313
Lumpkin County,1303420,GA,2020-21,384
Lumpkin County,1303420,GA,2021-22,403
Lumpkin County,1303420,GA,2022-23,391
Macon County,1303450,GA,2017-18,78
Macon County,1303450,GA,2018-19,102
Macon County,1303450,GA,2019-20,141
Macon County,1303450,GA,2020-21,140
Macon County,1303450,GA,2021-22,138
Macon County,1303450,GA,2022-23,130
Madison County,1303480,GA,2017-18,299
Madison County,1303480,GA,2018-19,276
Madison County,1303480,GA,2019-20,349
Madison County,1303480,GA,2020-21,439
Madison County,1303480,GA,2021-22,448
Madison County,1303480,GA,2022-23,366
Marietta City,1303510,GA,2017-18,128
Marietta City,1303510,GA,2018-19,133
Marietta City,1303510,GA,2019-20,117
Marietta City,1303510,GA,2020-21,156
Marietta City,1303510,GA,2021-22,160
Marietta City,1303510,GA,2022-23,127
Marion County,1303540,GA,2017-18,33
Marion County,1303540,GA,2018-19,49
Marion County,1303540,GA,2019-20,105
Marion County,1303540,GA,2020-21,98
Marion County,1303540,GA,2021-22,108
Marion County,1303540,GA,2022-23,77
Mcduffie County,1303570,GA,2017-18,147
Mcduffie County,1303570,GA,2018-19,188
Mcduffie County,1303570,GA,2019-20,190
Mcduffie County,1303570,GA,2020-21,180
Mcduffie County,1303570,GA,2021-22,212
Mcduffie County,1303570,GA,2022-23,200
Mcintosh County,1303600,GA,2017-18,76
Mcintosh County,1303600,GA,2018-19,70
Mcintosh County,1303600,GA,2019-20,90
Mcintosh County,1303600,GA,2020-21,117
Mcintosh County,1303600,GA,2021-22,94
Mcintosh County,1303600,GA,2022-23,80
Meriwether County,1303630,GA,2017-18,228
Meriwether County,1303630,GA,2018-19,300
Meriwether County,1303630,GA,2019-20,275
Meriwether County,1303630,GA,2020-21,267
Meriwether County,1303630,GA,2021-22,284
Meriwether County,1303630,GA,2022-23,224
Miller County,1303660,GA,2017-18,59
Miller County,1303660,GA,2018-19,59
Miller County,1303660,GA,2019-20,45
Miller County,1303660,GA,2020-21,52
Miller County,1303660,GA,2021-22,61
Miller County,1303660,GA,2022-23,57
Mitchell County,1303690,GA,2017-18,69
Mitchell County,1303690,GA,2018-19,102
Mitchell County,1303690,GA,2019-20,77
Mitchell County,1303690,GA,2020-21,95
Mitchell County,1303690,GA,2021-22,90
Mitchell County,1303690,GA,2022-23,89
Monroe County,1303720,GA,2017-18,279
Monroe County,1303720,GA,2018-19,313
Monroe County,1303720,GA,2019-20,328
Monroe County,1303720,GA,2020-21,291
